Database size	Bulk loading time	Search time	Total Time	LSM Total time
0	21.600352	29.637160	51.237512	71.278273
10	29.008694	83.386100	112.394794	131.219040
20	37.231887	136.929100	174.160987	191.103673
30	41.708121	190.209880	231.918001	249.773647
40	46.053297	243.527620	289.580917	309.117883
50	51.108703	296.807560	347.916263	343.635584
60	50.412068	350.149100	400.561168	416.207761
70	55.113046	403.817680	458.930726	478.813507
80	33.760716	457.272060	491.032776	509.826341
90	41.615767	510.528760	552.144527	569.845030
100	46.025226	563.821160	609.846386	629.302869
