Testing bulkloadSizePackage	Bulkload sandbox ex1.1 : startingEntriesInIndex = 0 entriesToInsert = 10000000 bulkloadPackageNumEntries = {10000, 50000, 100000, 200000, 300000, 400000, 500000} rsearches = 0 sel = 0.000000 indexesParams = { bufferSize = 2097152 ssTableSize = 2097152 levelRatio = 5 } table = DBTable { .name = TPC-C Warehouse .sizeKey = 8 .sizeData = 105 .sizeRecord = 113 .columnsSize = { 8,10,20,20,20,2,9,8,16 } }
BulkloadTime

BulkloadPackageSize	FALSM capRatio=1	FALSM capRatio=2	FALSM capRatio=3	FALSM capRatio=4	FALSM capRatio=5	FALSM capRatio=10	FALSM capRatio=15	FALSM capRatio=20	FALSM capRatio=25	FALSM capRatio=50	LSMTree insert	LSMTree bulkload
10k	42.896073	42.896073	42.896073	42.896073	42.896073	42.896073	42.896073	42.896073	42.896073	42.896073	42.896073	42.896073
50k	42.693576	22.663714	22.663714	22.663714	22.663714	11.407277	11.407277	11.407277	11.407277	2.111400	42.896073	42.693576
100k	21.537953	21.537953	21.537953	21.537953	11.407277	11.407277	11.407277	11.407277	2.111400	2.111400	42.896073	27.491212
200k	22.105931	22.105931	11.002291	11.002291	11.002291	11.002291	2.110635	2.110635	2.110635	2.110635	42.896073	24.089394
300k	25.911547	10.598401	10.598401	10.598401	10.598401	2.110895	2.110895	2.110895	2.110895	2.110895	42.896073	26.032805
400k	22.105931	10.193919	10.193919	10.193919	10.193919	2.110635	2.110635	2.110635	2.110635	2.110635	42.896073	22.105931
500k	10.193766	10.193766	10.193766	10.193766	2.110482	2.110482	2.110482	2.110482	2.110482	2.110482	42.896073	15.649983

RSearchTime

BulkloadPackageSize	FALSM capRatio=1	FALSM capRatio=2	FALSM capRatio=3	FALSM capRatio=4	FALSM capRatio=5	FALSM capRatio=10	FALSM capRatio=15	FALSM capRatio=20	FALSM capRatio=25	FALSM capRatio=50	LSMTree insert	LSMTree bulkload
10k	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
50k	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
100k	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
200k	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
300k	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
400k	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
500k	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

TotalTime

BulkloadPackageSize	FALSM capRatio=1	FALSM capRatio=2	FALSM capRatio=3	FALSM capRatio=4	FALSM capRatio=5	FALSM capRatio=10	FALSM capRatio=15	FALSM capRatio=20	FALSM capRatio=25	FALSM capRatio=50	LSMTree insert	LSMTree bulkload
10k	42.896073	42.896073	42.896073	42.896073	42.896073	42.896073	42.896073	42.896073	42.896073	42.896073	42.896073	42.896073
50k	42.693576	22.663714	22.663714	22.663714	22.663714	11.407277	11.407277	11.407277	11.407277	2.111400	42.896073	42.693576
100k	21.537953	21.537953	21.537953	21.537953	11.407277	11.407277	11.407277	11.407277	2.111400	2.111400	42.896073	27.491212
200k	22.105931	22.105931	11.002291	11.002291	11.002291	11.002291	2.110635	2.110635	2.110635	2.110635	42.896073	24.089394
300k	25.911547	10.598401	10.598401	10.598401	10.598401	2.110895	2.110895	2.110895	2.110895	2.110895	42.896073	26.032805
400k	22.105931	10.193919	10.193919	10.193919	10.193919	2.110635	2.110635	2.110635	2.110635	2.110635	42.896073	22.105931
500k	10.193766	10.193766	10.193766	10.193766	2.110482	2.110482	2.110482	2.110482	2.110482	2.110482	42.896073	15.649983

