Testing levelRatio	Bulkload sandbox ex5 : startingEntriesInIndex = 0 entriesToInsert = 10000000 bulkloadPackageNumEntries = [50000 - 100000] rsearches = 20 sel = 0.010000 indexesParams = { bufferSize = 2097152 ssTableSize = 2097152 levelRatio = {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15} } table = DBTable { .name = TPC-C Warehouse .sizeKey = 8 .sizeData = 105 .sizeRecord = 113 .columnsSize = { 8,10,20,20,20,2,9,8,16 } }
BulkloadTime

LevelRatio	FALSM capRatio=1	FALSM capRatio=2	FALSM capRatio=3	FALSM capRatio=4	FALSM capRatio=5	FALSM capRatio=10	FALSM capRatio=15	FALSM capRatio=20	FALSM capRatio=25	FALSM capRatio=50	LSMTree insert	LSMTree bulkload
2	34.613828	27.505182	24.836065	19.475176	19.185227	13.080810	10.102027	8.758638	8.531650	4.301258	43.668905	34.872486
3	30.535439	26.380913	18.917555	18.407034	18.407034	11.000716	11.020962	9.156897	9.148181	4.316289	38.673460	31.933049
4	30.077169	26.200285	22.887424	17.605678	14.718328	13.377327	8.185177	4.990599	7.806695	4.252693	39.378358	32.291593
5	34.551181	21.600352	21.600352	21.600352	20.829966	11.404764	11.404764	11.404764	8.368815	2.111522	42.896073	35.299897
6	37.364318	20.683864	19.099467	19.099467	19.099467	9.637007	6.908050	6.908050	6.908050	4.686875	43.083622	37.521569
7	39.018659	22.314846	17.703134	17.703134	17.703134	15.493093	6.489235	4.665340	4.665340	4.665340	45.063833	39.617837
8	41.755447	27.372107	19.129604	19.129604	19.129604	19.129604	9.797526	5.024118	5.933883	5.933883	51.109346	42.917530
9	37.980412	29.436172	17.147838	14.530150	14.530150	14.530150	14.530150	9.244358	5.623522	2.111522	50.194498	39.792290
10	37.663022	34.308482	18.148035	13.226564	13.226564	13.226564	13.226564	10.458036	6.783905	2.111522	52.534454	39.967386
11	37.328169	37.328169	21.203014	11.868142	10.955273	10.955273	10.955273	10.955273	8.442519	2.111522	53.929515	40.007410
12	38.317457	38.317457	20.451543	10.981612	8.527724	8.527724	8.527724	8.527724	8.527724	2.111522	55.009615	41.423493
13	40.784401	40.784401	27.003589	13.896524	9.647424	9.647424	9.647424	9.647424	9.647424	2.111522	60.687516	44.429351
14	38.462070	38.462070	29.358620	13.681018	7.996104	6.488077	6.488077	6.488077	6.488077	5.575925	60.395000	42.780581
15	39.254387	39.254387	36.597728	17.018025	10.131943	7.086867	7.086867	7.086867	7.086867	4.439275	64.010385	43.831588

RSearchTime

LevelRatio	FALSM capRatio=1	FALSM capRatio=2	FALSM capRatio=3	FALSM capRatio=4	FALSM capRatio=5	FALSM capRatio=10	FALSM capRatio=15	FALSM capRatio=20	FALSM capRatio=25	FALSM capRatio=50	LSMTree insert	LSMTree bulkload
2	30.393160	30.899680	31.066000	31.897600	32.453260	35.443240	36.569680	40.822180	38.951080	47.312440	30.196600	30.351580
3	29.338540	29.629600	30.725800	30.529240	30.529240	34.003060	33.953920	39.245920	45.789100	46.291840	29.089060	29.157100
4	28.900060	29.357440	29.414140	30.347800	32.362540	32.441920	35.481040	44.333800	44.352700	45.902500	28.658140	28.703500
5	28.427560	29.637160	29.637160	29.637160	29.837500	35.949760	35.949760	35.949760	36.959020	62.734840	28.382200	28.393540
6	28.310380	29.845060	30.268420	30.268420	30.268420	34.895140	40.693660	40.693660	40.693660	46.949560	28.268800	28.283920
