Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	22.351875	2238.739768	22.450493
3	22.351875	2249.239768	32.950493
4	22.351875	2259.739768	43.450493
5	22.351875	2270.239768	43.450493
6	22.351875	2280.739768	53.950493
7	22.351875	2291.239768	64.450493
8	22.351875	2301.739768	74.950493
9	22.351875	2312.239768	85.450493
10	22.351875	2322.739768	85.450493
11	22.351875	2333.239768	95.950493
12	22.351875	2343.739768	106.450493
13	22.351875	2354.239768	116.950493
14	22.351875	2364.739768	116.950493
15	22.351875	2375.239768	127.450493
16	22.351875	2385.739768	137.950493
17	22.351875	2396.239768	148.450493
18	22.351875	2406.739768	158.950493
19	22.351875	2417.239768	169.450493
20	22.351875	2427.739768	179.950493
21	22.351875	2438.239768	190.450493
