Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	3259.371166	1255.917962	39.032403
3	3259.371166	1292.917962	76.032403
4	3259.371166	1366.917962	150.032403
5	3259.371166	1376.917962	160.032403
6	3259.371166	1450.917962	234.032403
7	3259.371166	1542.917962	326.032403
8	3259.371166	1634.917962	418.032403
9	3259.371166	1726.917962	510.032403
10	3259.371166	1736.917961	520.032403
11	3259.371166	1778.917961	562.032403
12	3259.371166	1852.917961	636.032403
13	3259.371166	1889.917961	673.032403
14	3259.371166	1899.917961	683.032403
15	3259.371166	1973.917961	757.032403
16	3259.371166	2010.917962	794.032403
17	3259.371166	2084.917962	868.032403
18	3259.371166	2158.917962	942.032403
19	3259.371166	2177.917962	961.032403
20	3259.371166	2196.917962	980.032403
21	3259.371166	4485.917962	3269.032403
