Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	2084.731664	581.267192	25.787314
3	2084.731664	605.267192	49.787314
4	2084.731664	653.267192	97.787314
5	2084.731664	659.667192	97.787314
6	2084.731664	707.667192	145.787314
7	2084.731664	766.867192	204.987314
8	2084.731664	826.067192	264.187314
9	2084.731664	885.267192	323.387314
10	2084.731664	891.667192	323.387314
11	2084.731664	918.867192	350.587314
12	2084.731664	966.867192	398.587314
13	2084.731664	990.867192	422.587314
14	2084.731664	997.267192	422.587314
15	2084.731664	1045.267192	470.587314
16	2084.731664	1069.267192	494.587314
17	2084.731664	1117.267192	542.587314
18	2084.731664	1165.267192	590.587314
19	2084.731664	1178.067192	603.387314
20	2084.731664	1190.867192	616.187314
21	2084.731664	2656.467192	2081.787314
