Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	2090.763140	1696.686426	25.744658
3	2090.763140	1720.286426	49.344658
4	2090.763140	1767.486426	96.544658
5	2090.763140	1773.486426	102.544658
6	2090.763140	1820.686426	149.744658
7	2090.763140	1879.486426	208.544658
8	2090.763140	1938.286426	267.344658
9	2090.763140	1997.086426	326.144658
10	2090.763140	2003.086426	332.144658
11	2090.763140	2029.486426	358.544658
12	2090.763140	2076.686426	405.744658
13	2090.763140	2100.286426	429.344658
14	2090.763140	2106.286426	435.344658
15	2090.763140	2153.486426	482.544658
16	2090.763140	2177.086426	506.144658
17	2090.763140	2224.286426	553.344658
18	2090.763140	2271.486426	600.544658
19	2090.763140	2283.486426	612.544658
20	2090.763140	2295.486426	624.544658
21	2090.763140	3760.686426	2089.744658
