Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	655.371166	1240.917962	9.032403
3	655.371166	1248.917962	17.032403
4	655.371166	1263.917962	32.032403
5	655.371166	1267.217962	35.332403
6	655.371166	1282.217962	50.332403
7	655.371166	1301.217962	69.332403
8	655.371166	1320.217962	88.332403
9	655.371166	1339.217962	107.332403
10	655.371166	1342.517962	110.632403
11	655.371166	1351.517962	119.632403
12	655.371166	1366.517962	134.632403
13	655.371166	1374.517962	142.632403
14	655.371166	1377.817962	145.932403
15	655.371166	1392.817962	160.932403
16	655.371166	1400.817962	168.932403
17	655.371166	1415.817962	183.932403
18	655.371166	1430.817962	198.932403
19	655.371166	1434.817962	202.932403
20	655.371166	1438.817962	206.932403
21	655.371166	1896.817962	664.932403
