Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	419.131664	573.747192	10.747314
3	419.131664	581.667192	18.667314
4	419.131664	591.267192	28.267314
5	419.131664	593.907192	28.267314
6	419.131664	603.507192	37.867314
7	419.131664	616.307192	50.667314
8	419.131664	629.107192	63.467314
9	419.131664	641.907192	76.267314
10	419.131664	644.547192	76.267314
11	419.131664	650.947192	82.667314
12	419.131664	660.547192	92.267314
13	419.131664	668.467192	100.187314
14	419.131664	671.107192	100.187314
15	419.131664	680.707192	109.787314
16	419.131664	688.627192	117.707314
17	419.131664	698.227192	127.307314
18	419.131664	707.827192	136.907314
19	419.131664	713.107192	142.187314
20	419.131664	718.387192	147.467314
21	419.131664	1012.787192	441.867314
