Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	424.363140	1687.086426	6.544658
3	424.363140	1691.886426	11.344658
4	424.363140	1701.486426	20.944658
5	424.363140	1703.466426	22.924658
6	424.363140	1713.066426	32.524658
7	424.363140	1725.066426	44.524658
8	424.363140	1737.066426	56.524658
9	424.363140	1749.066426	68.524658
10	424.363140	1751.046426	70.504658
11	424.363140	1756.646426	76.104658
12	424.363140	1766.246426	85.704658
13	424.363140	1771.046426	90.504658
14	424.363140	1773.026426	92.484658
15	424.363140	1782.626426	102.084658
16	424.363140	1787.426426	106.884658
17	424.363140	1797.026426	116.484658
18	424.363140	1806.626426	126.084658
19	424.363140	1809.026426	128.484658
20	424.363140	1811.426426	130.884658
21	424.363140	2104.626426	424.084658
