Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	14586.269456	1242.695968	89.783355
3	14586.269456	1410.695968	89.783355
4	14586.269456	1746.695968	89.783355
5	14586.269456	1791.495968	89.783355
6	14586.269456	2127.495968	89.783355
7	14586.269456	2541.895968	89.783355
8	14586.269456	2956.295968	89.783355
9	14586.269456	3370.695968	89.783355
10	14586.269456	3415.495968	89.783355
11	14586.269456	3605.895968	89.783355
12	14586.269456	3941.895968	89.783355
13	14586.269456	4109.895968	89.783355
14	14586.269456	4154.695968	89.783355
15	14586.269456	4490.695968	89.783355
16	14586.269456	4658.695968	89.783355
17	14586.269456	4994.695968	89.783355
18	14586.269456	5330.695968	89.783355
19	14586.269456	5420.295968	89.783355
20	14586.269456	5509.895968	89.783355
21	14586.269456	15769.095970	10348.983355
