Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	14604.110146	2613.196824	172.763921
3	14604.110146	2778.396824	337.963921
4	14604.110146	3108.796824	668.363921
5	14604.110146	3150.796824	710.363921
6	14604.110146	3481.196824	1040.763921
7	14604.110146	3892.796824	1452.363921
8	14604.110146	4304.396824	1863.963921
9	14604.110146	4715.996824	2275.563921
10	14604.110146	4757.996824	2317.563921
11	14604.110146	4942.796824	2502.363921
12	14604.110146	5273.196824	2832.763921
13	14604.110146	5438.396824	2997.963921
14	14604.110146	5480.396824	3039.963921
15	14604.110146	5810.796824	3370.363921
16	14604.110146	5975.996824	3535.563921
17	14604.110146	6306.396824	3865.963921
18	14604.110146	6636.796824	4196.363921
19	14604.110146	6720.796824	4280.363921
20	14604.110146	6804.796824	4364.363921
21	14604.110146	17061.196825	14620.763921
