Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	11407.851875	2298.239768	141.450493
3	11407.851875	2431.239768	274.450493
4	11407.851875	2690.239768	533.450493
5	11407.851875	2725.239768	533.450493
6	11407.851875	2984.239768	792.450493
7	11407.851875	3306.239768	1114.450493
8	11407.851875	3628.239768	1436.450493
9	11407.851875	3950.239768	1758.450493
10	11407.851875	3985.239768	1758.450493
11	11407.851875	4132.239768	1905.450493
12	11407.851875	4391.239768	2164.450493
13	11407.851875	4524.239768	2297.450493
14	11407.851875	4559.239768	2297.450493
15	11407.851875	4818.239768	2556.450493
16	11407.851875	4951.239768	2689.450493
17	11407.851875	5210.239768	2948.450493
18	11407.851875	5469.239768	3207.450493
19	11407.851875	5539.239768	3277.450493
20	11407.851875	5609.239768	3347.450493
21	11407.851875	13624.239768	11362.450493
