Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	1471.069455	1169.895968	16.983355
3	1471.069455	1203.495968	16.983355
4	1471.069455	1253.895968	16.983355
5	1471.069455	1270.695968	16.983355
6	1471.069455	1321.095968	16.983355
7	1471.069455	1365.895968	16.983355
8	1471.069455	1410.695968	16.983355
9	1471.069455	1455.495968	16.983355
10	1471.069455	1472.295968	16.983355
11	1471.069455	1505.895968	16.983355
12	1471.069455	1556.295968	16.983355
13	1471.069455	1589.895968	16.983355
14	1471.069455	1606.695968	16.983355
15	1471.069455	1657.095968	16.983355
16	1471.069455	1690.695968	16.983355
17	1471.069455	1741.095968	16.983355
18	1471.069455	1791.495968	16.983355
19	1471.069455	1808.295968	16.983355
20	1471.069455	1825.095968	16.983355
21	1471.069455	2855.495968	1047.383355
