Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	1480.510146	2541.796824	29.963921
3	1480.510146	2558.596824	46.763921
4	1480.510146	2592.196824	80.363921
5	1480.510146	2600.596824	88.763921
6	1480.510146	2634.196824	122.363921
7	1480.510146	2676.196824	164.363921
8	1480.510146	2718.196824	206.363921
9	1480.510146	2760.196824	248.363921
10	1480.510146	2768.596824	256.763921
11	1480.510146	2788.196824	276.363921
12	1480.510146	2821.796824	309.963921
13	1480.510146	2838.596824	326.763921
14	1480.510146	2846.996824	335.163921
15	1480.510146	2880.596824	368.763921
16	1480.510146	2897.396824	385.563921
17	1480.510146	2930.996824	419.163921
18	1480.510146	2964.596824	452.763921
19	1480.510146	2977.196824	465.363921
20	1480.510146	2989.796824	477.963921
21	1480.510146	4017.396824	1505.563921
