Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	23449.756716	2145.539207	269.607331
3	23449.756716	2411.939207	536.007331
4	23449.756716	2941.139207	1065.207331
5	23449.756716	3009.539207	1133.607331
6	23449.756716	3538.739207	1662.807331
7	23449.756716	4201.139207	2325.207331
8	23449.756716	4863.539207	2987.607331
9	23449.756716	5525.939207	3650.007331
10	23449.756716	5594.339207	3718.407331
11	23449.756716	5893.139207	4017.207331
12	23449.756716	6422.339207	4546.407331
13	23449.756716	6688.739207	4812.807331
14	23449.756716	6757.139207	4881.207331
15	23449.756716	7286.339207	5410.407331
16	23449.756716	7552.739207	5676.807331
17	23449.756716	8081.939207	6206.007331
18	23449.756716	8611.139207	6735.207331
19	23449.756716	8744.339207	6868.407331
20	23449.756716	8877.539207	7001.607331
21	23449.756716	25358.339207	23482.407331
