Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	15003.849846	1156.655703	173.374421
3	15003.849846	1329.455703	346.174421
4	15003.849846	1669.295703	686.014421
5	15003.849846	1715.375703	686.014421
6	15003.849846	2055.215703	1025.854421
7	15003.849846	2481.455703	1452.094421
8	15003.849846	2907.695703	1878.334421
9	15003.849846	3333.935703	2304.574421
10	15003.849846	3380.015703	2304.574421
11	15003.849846	3570.095703	2494.654421
12	15003.849846	3909.935703	2834.494421
13	15003.849846	4082.735703	3007.294421
14	15003.849846	4128.815704	3007.294421
15	15003.849846	4468.655704	3347.134421
16	15003.849846	4641.455704	3519.934421
17	15003.849846	4981.295703	3859.774421
18	15003.849846	5321.135703	4199.614421
19	15003.849846	5407.535703	4286.014421
20	15003.849846	5493.935703	4372.414421
21	15003.849846	16046.255706	14924.734421
