Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	7523.323765	2203.112409	91.844221
3	7523.323765	2288.072409	176.804221
4	7523.323765	2457.992409	346.724221
5	7523.323765	2479.592409	368.324221
6	7523.323765	2649.512409	538.244221
7	7523.323765	2861.192409	749.924221
8	7523.323765	3072.872409	961.604221
9	7523.323765	3284.552409	1173.284221
10	7523.323765	3306.152409	1194.884221
11	7523.323765	3401.192409	1289.924221
12	7523.323765	3571.112409	1459.844221
13	7523.323765	3656.072409	1544.804221
14	7523.323765	3677.672409	1566.404221
15	7523.323765	3847.592409	1736.324221
16	7523.323765	3932.552409	1821.284221
17	7523.323765	4102.472409	1991.204221
18	7523.323765	4272.392409	2161.124221
19	7523.323765	4315.592409	2204.324221
20	7523.323765	4358.792409	2247.524221
21	7523.323765	9633.512409	7522.244221
