Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	2357.356716	2026.739207	32.007331
3	2357.356716	2055.539207	60.807331
4	2357.356716	2109.539207	114.807331
5	2357.356716	2120.339207	125.607331
6	2357.356716	2174.339207	179.607331
7	2357.356716	2242.739207	248.007331
8	2357.356716	2311.139207	316.407331
9	2357.356716	2379.539207	384.807331
10	2357.356716	2390.339207	395.607331
11	2357.356716	2422.739207	428.007331
12	2357.356716	2476.739207	482.007331
13	2357.356716	2505.539207	510.807331
14	2357.356716	2516.339207	521.607331
15	2357.356716	2570.339207	575.607331
16	2357.356716	2599.139207	604.407331
17	2357.356716	2653.139207	658.407331
18	2357.356716	2707.139207	712.407331
19	2357.356716	2721.539207	726.807331
20	2357.356716	2735.939207	741.207331
21	2357.356716	4384.739207	2390.007331
