Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	1508.169847	1087.535703	35.134421
3	1508.169847	1113.455703	61.054421
4	1508.169847	1148.015703	95.614421
5	1508.169847	1156.655703	95.614421
6	1508.169847	1191.215703	130.174421
7	1508.169847	1237.295703	176.254421
8	1508.169847	1283.375703	222.334421
9	1508.169847	1329.455703	268.414421
10	1508.169847	1338.095703	268.414421
11	1508.169847	1361.135703	291.454421
12	1508.169847	1395.695703	326.014421
13	1508.169847	1421.615703	351.934421
14	1508.169847	1430.255703	351.934421
15	1508.169847	1464.815703	386.494421
16	1508.169847	1490.735703	412.414421
17	1508.169847	1525.295703	446.974421
18	1508.169847	1559.855703	481.534421
19	1508.169847	1577.135703	498.814421
20	1508.169847	1594.415703	516.094421
21	1508.169847	2654.255703	1575.934421
