Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	1524.283765	2168.552409	22.724221
3	1524.283765	2185.832409	40.004221
4	1524.283765	2220.392409	74.564221
5	1524.283765	2226.872409	81.044221
6	1524.283765	2261.432409	115.604221
7	1524.283765	2304.632409	158.804221
8	1524.283765	2347.832409	202.004221
9	1524.283765	2391.032409	245.204221
10	1524.283765	2397.512409	251.684221
11	1524.283765	2417.672409	271.844221
12	1524.283765	2452.232409	306.404221
13	1524.283765	2469.512409	323.684221
14	1524.283765	2475.992409	330.164221
15	1524.283765	2510.552409	364.724221
16	1524.283765	2527.832409	382.004221
17	1524.283765	2562.392409	416.564221
18	1524.283765	2596.952409	451.124221
19	1524.283765	2605.592409	459.764221
20	1524.283765	2614.232409	468.404221
21	1524.283765	3669.752409	1523.924221
