Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	173.584000	1.956000
3	173.584000	3.910000
4	173.584000	7.818000
5	173.584000	8.308000
6	173.584000	12.216000
7	173.584000	17.100000
8	173.584000	21.984000
9	173.584000	26.868000
10	173.584000	27.358000
11	173.584000	29.556000
12	173.584000	33.464000
13	173.584000	35.418000
14	173.584000	35.908000
15	173.584000	39.816000
16	173.584000	41.770000
17	173.584000	45.678000
18	173.584000	49.586000
19	173.584000	50.564000
20	173.584000	51.542000
21	173.584000	173.614000
