Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	1395.69662	1107.16027
3	1395.69662	1111.08549
4	1395.69662	1118.93489
5	1395.69662	1119.91717
6	1395.69662	1127.76657
7	1395.69662	1137.57819
8	1395.69662	1147.38981
9	1395.69662	1157.20143
10	1395.69662	1158.18371
11	1395.69662	1162.59981
12	1395.69662	1170.44921
13	1395.69662	1174.37443
14	1395.69662	1175.35671
15	1395.69662	1183.20611
16	1395.69662	1187.13127
17	1395.69662	1194.98073
18	1395.69662	1202.83007
19	1395.69662	1204.79365
20	1395.69662	1206.75717
21	1395.69662	1452.01621
