Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	107.361279	85.166175
3	107.361279	85.468115
4	107.361279	86.071915
5	107.361279	86.147475
6	107.361279	86.751275
7	107.361279	87.506015
8	107.361279	88.260755
9	107.361279	89.015495
10	107.361279	89.091055
11	107.361279	89.430755
12	107.361279	90.034555
13	107.361279	90.336495
14	107.361279	90.412055
15	107.361279	91.015855
16	107.361279	91.317795
17	107.361279	91.921595
18	107.361279	92.525395
19	107.361279	92.676435
20	107.361279	92.827475
21	107.361279	111.693555
