Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	1215.088000	13.692000
3	1215.088000	27.370000
4	1215.088000	54.726000
5	1215.088000	58.156000
6	1215.088000	85.512000
7	1215.088000	119.700000
8	1215.088000	153.888000
9	1215.088000	188.076000
10	1215.088000	191.506000
11	1215.088000	206.892000
12	1215.088000	234.248000
13	1215.088000	247.926000
14	1215.088000	251.356000
15	1215.088000	278.712000
16	1215.088000	292.390000
17	1215.088000	319.746000
18	1215.088000	347.102000
19	1215.088000	353.948000
20	1215.088000	360.794000
21	1215.088000	1215.298000
