Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	456.299051	245.446018
3	456.299051	247.559598
4	456.299051	251.786198
5	456.299051	252.315118
6	456.299051	256.541718
7	456.299051	261.824898
8	456.299051	267.108078
9	456.299051	272.391258
10	456.299051	272.920178
11	456.299051	275.298078
12	456.299051	279.524678
13	456.299051	281.638258
14	456.299051	282.167178
15	456.299051	286.393778
16	456.299051	288.507358
17	456.299051	292.733958
18	456.299051	296.960558
19	456.299051	298.017838
20	456.299051	299.075118
21	456.299051	431.137678
