Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	272.111868	266.643440
3	272.111868	266.861096
4	272.111868	267.296192
5	272.111868	267.350912
6	272.111868	267.786008
7	272.111868	268.329752
8	272.111868	268.873496
9	272.111868	269.417240
10	272.111868	269.471960
11	272.111868	269.716760
12	272.111868	270.151856
13	272.111868	270.369512
14	272.111868	270.424232
15	272.111868	270.859328
16	272.111868	271.076984
17	272.111868	271.512080
18	272.111868	271.947176
19	272.111868	272.056256
20	272.111868	272.165336
21	272.111868	285.749216
