Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	624.902400	7.041600
3	624.902400	14.076000
4	624.902400	28.144800
5	624.902400	29.908800
6	624.902400	43.977600
7	624.902400	61.560000
8	624.902400	79.142400
9	624.902400	96.724800
10	624.902400	98.488800
11	624.902400	106.401600
12	624.902400	120.470400
13	624.902400	127.504800
14	624.902400	129.268800
15	624.902400	143.337600
16	624.902400	150.372000
17	624.902400	164.440800
18	624.902400	178.509600
19	624.902400	182.030400
20	624.902400	185.551200
21	624.902400	625.010400
