T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	34.551181	142.137800	176.688981	184.807073
2	21.600352	148.185800	169.786152	184.807073
3	21.600352	148.185800	169.786152	184.807073
4	21.600352	148.185800	169.786152	184.807073
5	20.829966	149.187500	170.017466	184.807073
10	11.404764	179.748800	191.153564	184.807073
15	11.404764	179.748800	191.153564	184.807073
20	11.404764	179.748800	191.153564	184.807073
25	8.368815	184.795100	193.163915	184.807073
50	2.111522	313.674200	315.785722	184.807073
