T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	11.276336	99.141750	110.418086	113.025254
2	7.077671	101.781750	108.859421	113.025254
3	7.077671	101.781750	108.859421	113.025254
4	7.077671	101.781750	108.859421	113.025254
5	6.827889	102.219000	109.046889	113.025254
10	3.771998	115.559250	119.331248	113.025254
15	3.771998	115.559250	119.331248	113.025254
20	3.771998	115.559250	119.331248	113.025254
25	2.787642	117.762000	120.549641	113.025254
50	0.758843	174.018750	174.777593	113.025254
