T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	189.222526	340.649120	529.871646	697.833520
2	148.687496	342.077960	490.765456	697.833520
3	148.687496	342.077960	490.765456	697.833520
4	136.093830	342.425720	478.519550	697.833520
5	107.480947	344.965880	452.446827	697.833520
10	82.290831	351.905960	434.196791	697.833520
15	82.290831	351.905960	434.196791	697.833520
20	65.658452	353.871560	419.530012	697.833520
25	43.489282	365.891960	409.381242	697.833520
50	36.518271	400.297520	436.815791	697.833520
