T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	35.365541	56.861568	92.227109	100.721454
2	22.106560	58.243968	80.350528	100.721454
3	22.106560	58.243968	80.350528	100.721454
4	22.106560	58.243968	80.350528	100.721454
5	21.317770	58.472928	79.790698	100.721454
10	11.667583	65.458368	77.125951	100.721454
15	11.667583	65.458368	77.125951	100.721454
20	11.667583	65.458368	77.125951	100.721454
25	8.559088	66.611808	75.170896	100.721454
50	2.152355	96.069888	98.222243	100.721454
