Query	FD-Tree	Skan	Adaptive Merging	Lazy Adaptive Merging
1	0.034718	0.054072	2.017228	0.755437
2	0.034718	0.054072	2.324853	1.063534
3	0.034718	0.054072	2.412797	1.151710
4	0.034718	0.054072	2.156600	0.894635
5	0.034718	0.054072	2.336050	1.074317
6	0.034718	0.054072	2.451578	1.190317
7	0.034718	0.054072	2.222236	0.961203
8	0.034718	0.054072	2.753382	1.490147
9	0.034718	0.054072	2.139296	0.878707
10	0.034718	0.054072	2.288225	1.026784
11	0.034718	0.054072	2.812037	1.550828
12	0.034718	0.054072	2.202804	0.940715
13	0.034718	0.054072	1.089998	1.828143
14	0.034718	0.054072	1.934209	0.853149
15	0.034718	0.054072	2.074039	0.993210
16	0.034718	0.054072	2.988841	1.908246
17	0.034718	0.054072	1.841027	0.759312
18	0.034718	0.054072	2.038204	0.956961
19	0.034718	0.054072	2.190195	1.109184
20	0.034718	0.054072	1.967221	0.887534
21	0.034718	0.054072	2.499405	1.424024
22	0.034718	0.054072	1.785364	0.697692
23	0.034718	0.054072	1.943700	0.862513
24	0.034718	0.054072	2.642773	1.561820
25	0.034718	0.054072	1.880484	0.799765
26	0.034718	0.054072	1.808949	0.727112
27	0.034718	0.054072	2.845606	1.762913
28	0.034718	0.054072	1.843257	0.762974
29	0.034718	0.054072	1.804117	0.723466
30	0.034718	0.054072	2.946099	2.864958
31	0.034718	0.054072	1.557365	0.655904
32	0.034718	0.054072	1.698712	0.797483
33	0.034718	0.054072	2.063228	1.162235
34	0.034718	0.054072	1.524740	0.628717
35	0.034718	0.054072	1.706926	0.801674
36	0.034718	0.054072	1.616276	0.715986
37	0.034718	0.054072	2.112650	1.211245
38	0.034718	0.054072	1.541226	0.640052
39	0.034718	0.054072	1.761635	0.860219
40	0.034718	0.054072	2.206685	1.306460
41	0.034718	0.054072	1.601500	0.700555
42	0.034718	0.054072	1.571660	0.672393
43	0.034718	0.054072	2.571781	1.669952
44	0.034718	0.054072	1.463715	0.562600
45	0.034718	0.054072	1.528771	0.628376
46	0.034718	0.054072	1.707616	0.806495
47	0.034718	0.054072	1.468283	1.568112
48	0.034718	0.054072	1.455062	0.553051
49	0.034718	0.054072	1.615824	0.714533
50	0.034718	0.054072	1.574027	0.672967
51	0.034718	0.054072	1.783848	0.883027
52	0.034718	0.054072	1.539385	0.638798
53	0.034718	0.054072	1.497761	0.597418
54	0.034718	0.054072	1.398884	0.677253
55	0.034718	0.054072	1.823173	1.102740
56	0.034718	0.054072	1.269094	0.542171
57	0.034718	0.054072	1.302237	0.588048
58	0.034718	0.054072	1.353035	0.632590
59	0.034718	0.054072	1.960951	1.240750
60	0.034718	0.054072	1.321250	0.601281
61	0.034718	0.054072	1.289517	0.567334
62	0.034718	0.054072	1.334072	0.614063
63	0.034718	0.054072	2.129019	1.408158
64	0.034718	0.054072	1.223085	0.520432
65	0.034718	0.054072	1.386886	0.666503
66	0.034718	0.054072	1.298589	0.577359
67	0.034718	0.054072	1.141140	1.422075
68	0.034718	0.054072	1.185611	0.465693
69	0.034718	0.054072	1.232461	0.511422
70	0.034718	0.054072	1.253225	0.532186
71	0.034718	0.054072	1.318582	0.596631
72	0.034718	0.054072	1.511058	0.792669
73	0.034718	0.054072	1.169372	0.448262
74	0.034718	0.054072	1.206942	0.486857
75	0.034718	0.054072	1.276734	0.556638
76	0.034718	0.054072	1.276377	0.555161
77	0.034718	0.054072	1.689312	0.968333
78	0.034718	0.054072	1.158595	0.436764
79	0.034718	0.054072	1.194346	0.473909
80	0.034718	0.054072	1.232099	0.512138
81	0.034718	0.054072	1.265600	0.544808
82	0.034718	0.054072	1.834801	1.114787
83	0.034718	0.054072	0.964416	0.424359
84	0.034718	0.054072	1.000391	0.459551
85	0.034718	0.054072	1.042822	0.503009
86	0.034718	0.054072	1.045555	0.504168
87	0.034718	0.054072	1.869023	1.327824
88	0.034718	0.054072	0.940159	0.401135
89	0.034718	0.054072	0.987011	0.447142
90	0.034718	0.054072	1.015358	0.475481
91	0.034718	0.054072	1.065549	0.525916
