Query	Adaptive Merging	Lazy Adaptive Merging	Adaptive Merging	Lazy Adaptive Merging
1	0.173584	0.192168	11.140699	5.010180
2	0.173584	0.192168	11.573587	5.623962
3	0.173584	0.192168	11.793550	6.204429
4	0.173584	0.192168	11.277847	5.868914
5	0.173584	0.192168	10.237958	5.190011
6	0.173584	0.192168	11.815192	6.947609
7	0.173584	0.192168	8.688303	4.181410
8	0.173584	0.192168	9.008745	4.681504
9	0.173584	0.192168	8.623245	4.477264
10	0.173584	0.192168	10.404052	6.438381
11	0.173584	0.192168	7.390993	3.604500
12	0.173584	0.192168	7.280630	3.674185
13	0.173584	0.192168	7.204735	3.779584
14	0.173584	0.192168	10.210628	6.967225
15	0.173584	0.192168	6.109920	3.044789
16	0.173584	0.192168	6.020654	3.136015
17	0.173584	0.192168	5.954978	3.250353
18	0.173584	0.192168	4.886767	2.183206
19	0.173584	0.192168	9.607651	7.084106
20	0.173584	0.192168	4.619184	2.275181
21	0.173584	0.192168	4.766274	2.421769
22	0.173584	0.192168	4.710644	2.548987
23	0.173584	0.192168	3.797506	1.814063
24	0.173584	0.192168	4.430505	2.446392
25	0.173584	0.192168	9.290978	7.489761
26	0.173584	0.192168	3.295575	1.492798
27	0.173584	0.192168	3.386204	1.763381
28	0.173584	0.192168	3.141805	1.519518
29	0.173584	0.192168	3.445874	1.824361
30	0.173584	0.192168	2.744560	1.302763
31	0.173584	0.192168	3.278674	1.837413
32	0.173584	0.192168	2.594710	1.332926
33	0.173584	0.192168	3.172091	1.910846
34	0.173584	0.192168	2.351843	1.090894
35	0.173584	0.192168	4.198298	3.117721
36	0.173584	0.192168	1.932705	0.849658
37	0.173584	0.192168	2.041451	0.961244
38	0.173584	0.192168	2.402044	1.320263
39	0.173584	0.192168	1.660576	0.760315
40	0.173584	0.192168	1.811849	0.910506
41	0.173584	0.192168	1.711762	0.811375
42	0.173584	0.192168	2.140625	1.240067
43	0.173584	0.192168	1.479138	0.758467
44	0.173584	0.192168	1.429775	0.708682
