Query	FD-Tree	Skan	Adaptive Merging	Lazy Adaptive Merging
1	0.027588	0.064708	1.662642	0.580811
2	0.027588	0.064708	1.837202	0.755455
3	0.027588	0.064708	1.594276	0.692837
4	0.027588	0.064708	1.822034	0.920573
5	0.027588	0.064708	1.453992	0.552427
6	0.027588	0.064708	1.509132	0.607591
7	0.027588	0.064708	1.480076	0.758855
8	0.027588	0.064708	1.558157	0.837062
9	0.027588	0.064708	1.196906	0.475735
10	0.027588	0.064708	1.211777	0.490604
11	0.027588	0.064708	1.261291	0.540160
12	0.027588	0.064708	1.262964	0.541799
13	0.027588	0.064708	1.455824	0.914895
14	0.027588	0.064708	0.946207	0.405386
15	0.027588	0.064708	0.950310	0.409531
16	0.027588	0.064708	0.988933	0.448186
17	0.027588	0.064708	0.837593	0.296824
18	0.027588	0.064708	0.956746	0.415919
19	0.027588	0.064708	0.601686	1.060815
20	0.027588	0.064708	0.800042	0.259281
21	0.027588	0.064708	0.638292	0.277727
22	0.027588	0.064708	0.704648	0.344139
23	0.027588	0.064708	0.574855	0.214402
24	0.027588	0.064708	0.701106	0.340663
25	0.027588	0.064708	0.561815	0.201314
26	0.027588	0.064708	0.722355	0.361888
27	0.027588	0.064708	0.555111	0.194592
28	0.027588	0.064708	0.512825	1.152424
29	0.027588	0.064708	0.511502	0.151010
30	0.027588	0.064708	0.540961	0.180364
31	0.027588	0.064708	0.565353	0.204860
32	0.027588	0.064708	0.489905	0.129508
33	0.027588	0.064708	0.521185	0.160633
34	0.027588	0.064708	0.414059	0.233880
35	0.027588	0.064708	0.291025	0.110874
36	0.027588	0.064708	0.341935	0.161826
37	0.027588	0.064708	0.420591	0.240308
38	0.027588	0.064708	0.280723	0.100604
39	0.027588	0.064708	0.285409	0.105258
40	0.027588	0.064708	0.323377	0.143236
41	0.027588	0.064708	0.451137	0.270978
42	0.027588	0.064708	0.268723	0.088516
43	0.027588	0.064708	0.273105	0.092844
44	0.027588	0.064708	0.277486	0.097393
45	0.027588	0.064708	0.285848	0.105685
46	0.027588	0.064708	0.245956	0.065727
47	0.027588	0.064708	0.425438	1.245349
48	0.027588	0.064708	0.254115	0.073930
49	0.027588	0.064708	0.262753	0.082480
50	0.027588	0.064708	0.241174	0.061001
51	0.027588	0.064708	0.265436	0.085193
52	0.027588	0.064708	0.270328	0.090183
53	0.027588	0.064708	0.237910	0.057645
54	0.027588	0.064708	0.311914	0.131741
55	0.027588	0.064708	0.233174	0.053079
56	0.027588	0.064708	0.241505	0.061294
57	0.027588	0.064708	0.231910	0.051779
58	0.027588	0.064708	0.248321	0.068048
59	0.027588	0.064708	0.230214	0.050029
60	0.027588	0.064708	0.250703	0.070583
61	0.027588	0.064708	0.226390	0.046121
62	0.027588	0.064708	0.262888	0.082679
63	0.027588	0.064708	0.222086	0.041965
64	0.027588	0.064708	0.221654	0.059301
65	0.027588	0.064708	0.343982	0.163735
66	0.027588	0.064708	0.222086	0.041887
67	0.027588	0.064708	0.219174	0.039029
68	0.027588	0.064708	0.221910	0.041826
69	0.027588	0.064708	0.231761	0.051499
70	0.027588	0.064708	0.217654	0.037427
71	0.027588	0.064708	0.218998	0.038806
72	0.027588	0.064708	0.219430	0.039275
73	0.027588	0.064708	0.237537	0.057424
74	0.027588	0.064708	0.214870	0.034790
75	0.027588	0.064708	0.216390	0.036536
76	0.027588	0.064708	0.216518	0.036700
77	0.027588	0.064708	0.219430	0.039646
78	0.027588	0.064708	0.242654	0.062883
79	0.027588	0.064708	0.214086	0.034346
80	0.027588	0.064708	0.211174	0.031464
81	0.027588	0.064708	0.214998	0.035306
82	0.027588	0.064708	0.216038	0.036364
83	0.027588	0.064708	0.218950	0.038948
84	0.027588	0.064708	0.210262	0.030284
85	0.027588	0.064708	0.249496	0.069529
86	0.027588	0.064708	0.209782	0.029822
87	0.027588	0.064708	0.212998	0.033056
88	0.027588	0.064708	0.211174	0.031256
89	0.027588	0.064708	0.213124	0.033232
90	0.027588	0.064708	0.209782	0.029889
91	0.027588	0.064708	0.215558	0.035674
92	0.027588	0.064708	0.209174	0.029304
93	0.027588	0.064708	0.210390	0.030523
94	0.027588	0.064708	0.216166	0.036303
95	0.027588	0.064708	0.209782	0.029927
96	0.027588	0.064708	0.209302	0.029163
97	0.027588	0.064708	0.369663	0.189520
98	0.027588	0.064708	0.208694	0.028573
99	0.027588	0.064708	0.210390	0.030269
100	0.027588	0.064708	0.211126	0.031016
101	0.027588	0.064708	0.208390	0.028290
102	0.027588	0.064708	0.209782	0.029700
103	0.027588	0.064708	0.209302	0.029227
104	0.027588	0.064708	0.212646	0.032573
105	0.027588	0.064708	0.208390	0.028319
106	0.027588	0.064708	0.208694	0.028631
107	0.027588	0.064708	0.208998	0.028944
108	0.027588	0.064708	0.209302	0.029247
109	0.027588	0.064708	0.207910	0.027700
110	0.027588	0.064708	0.214166	0.033955
111	0.027588	0.064708	0.208390	0.028201
112	0.027588	0.064708	0.208694	0.028530
113	0.027588	0.064708	0.207910	0.027755
114	0.027588	0.064708	0.208998	0.028846
115	0.027588	0.064708	0.209302	0.029128
116	0.027588	0.064708	0.207910	0.027724
117	0.027588	0.064708	0.215686	0.035417
118	0.027588	0.064708	0.207910	0.027621
119	0.027588	0.064708	0.208390	0.028101
