Query	FD-Tree	Skan	Adaptive Merging	Lazy Adaptive Merging
1	0.121520	0.189336	2.711587	2.177077
2	0.121520	0.189336	2.983374	2.450530
3	0.121520	0.189336	3.240076	2.708044
4	0.121520	0.189336	4.381388	3.851036
5	0.121520	0.189336	3.877180	3.347626
6	0.121520	0.189336	4.103879	3.575976
7	0.121520	0.189336	3.170458	2.643326
8	0.121520	0.189336	3.365347	2.829591
9	0.121520	0.189336	3.592031	3.057101
10	0.121520	0.189336	3.821570	3.288292
11	0.121520	0.189336	2.190675	4.658209
12	0.121520	0.189336	3.103666	2.572866
13	0.121520	0.189336	3.305987	2.775999
14	0.121520	0.189336	3.470200	3.018447
15	0.121520	0.189336	2.442110	1.990294
16	0.121520	0.189336	3.645276	3.195154
17	0.121520	0.189336	2.261737	2.802963
18	0.121520	0.189336	2.670573	2.213451
19	0.121520	0.189336	3.178531	2.722221
20	0.121520	0.189336	3.210268	2.754770
21	0.121520	0.189336	3.594396	3.142585
22	0.121520	0.189336	2.192877	2.736148
23	0.121520	0.189336	2.778101	2.325067
24	0.121520	0.189336	3.110789	2.659407
25	0.121520	0.189336	2.321584	1.871028
26	0.121520	0.189336	3.082534	2.623326
27	0.121520	0.189336	3.364550	2.906154
28	0.121520	0.189336	2.325513	2.867964
29	0.121520	0.189336	2.813465	2.356742
30	0.121520	0.189336	2.931417	2.476325
31	0.121520	0.189336	2.196003	1.818299
32	0.121520	0.189336	2.942848	2.565998
33	0.121520	0.189336	3.075871	2.699819
34	0.121520	0.189336	2.391901	2.016689
35	0.121520	0.189336	2.136809	1.762416
36	0.121520	0.189336	2.416000	2.042398
37	0.121520	0.189336	2.706509	2.324269
38	0.121520	0.189336	2.985683	2.604262
39	0.121520	0.189336	2.018521	1.629439
40	0.121520	0.189336	3.096164	2.724840
41	0.121520	0.189336	4.541213	4.162263
42	0.121520	0.189336	2.373557	1.995432
43	0.121520	0.189336	2.080221	1.702895
44	0.121520	0.189336	2.392225	2.015725
45	0.121520	0.189336	2.912287	2.536655
46	0.121520	0.189336	1.963890	1.589070
47	0.121520	0.189336	3.024643	2.656358
48	0.121520	0.189336	2.498618	2.109325
49	0.121520	0.189336	1.970329	1.588481
50	0.121520	0.189336	2.271124	1.890095
51	0.121520	0.189336	2.433172	2.052136
52	0.121520	0.189336	1.909274	1.529036
53	0.121520	0.189336	2.569904	2.190520
54	0.121520	0.189336	2.971240	2.669230
55	0.121520	0.189336	1.804473	1.503324
56	0.121520	0.189336	2.425336	2.116498
57	0.121520	0.189336	2.173614	1.882576
58	0.121520	0.189336	1.630980	1.332288
59	0.121520	0.189336	2.288839	1.990105
60	0.121520	0.189336	1.766802	1.468880
61	0.121520	0.189336	2.416209	2.119099
62	0.121520	0.189336	2.839756	2.542604
63	0.121520	0.189336	1.585809	1.280929
64	0.121520	0.189336	2.656417	2.365803
65	0.121520	0.189336	1.727257	1.423210
66	0.121520	0.189336	1.785360	1.482132
67	0.121520	0.189336	1.691559	1.393025
68	0.121520	0.189336	2.127381	1.820221
69	0.121520	0.189336	2.535841	2.234209
70	0.121520	0.189336	1.390695	1.089931
71	0.121520	0.189336	2.727876	2.427910
72	0.121520	0.189336	1.551805	1.254687
73	0.121520	0.189336	2.532528	2.230491
74	0.121520	0.189336	1.494570	1.196256
75	0.121520	0.189336	1.953789	1.656301
76	0.121520	0.189336	1.426099	1.128583
77	0.121520	0.189336	2.141095	1.834969
78	0.121520	0.189336	1.417633	1.109451
79	0.121520	0.189336	2.365903	2.063457
80	0.121520	0.189336	1.382886	1.077593
81	0.121520	0.189336	2.633925	2.330263
82	0.121520	0.189336	1.367801	1.064118
83	0.121520	0.189336	3.811117	3.584843
84	0.121520	0.189336	1.385866	1.159599
