Query	Adaptive Merging	Lazy Adaptive Merging	Adaptive Merging	Lazy Adaptive Merging
1	0.607544	0.672658	17.285344	14.682162
2	0.607544	0.672658	18.084330	15.559712
3	0.607544	0.672658	18.689727	16.317799
4	0.607544	0.672658	18.164626	15.868812
5	0.607544	0.672658	19.610609	17.475325
6	0.607544	0.672658	19.498043	17.434743
7	0.607544	0.672658	20.344449	18.439201
8	0.607544	0.672658	15.419075	13.584187
9	0.607544	0.672658	11.805549	10.050499
10	0.607544	0.672658	15.056638	13.378122
11	0.607544	0.672658	15.744567	14.141437
12	0.607544	0.672658	10.502567	8.975131
13	0.607544	0.672658	15.530462	14.072310
14	0.607544	0.672658	10.382305	8.969455
15	0.607544	0.672658	21.613815	20.364302
16	0.607544	0.672658	8.804946	7.579908
17	0.607544	0.672658	9.727610	8.582914
18	0.607544	0.672658	8.993108	7.852164
19	0.607544	0.672658	10.173477	9.103201
20	0.607544	0.672658	7.314855	6.323241
21	0.607544	0.672658	11.607132	10.616750
22	0.607544	0.672658	6.415243	5.502683
23	0.607544	0.672658	6.000718	5.165966
24	0.607544	0.672658	12.055852	11.022886
25	0.607544	0.672658	5.589557	5.027460
26	0.607544	0.672658	5.354729	4.597001
27	0.607544	0.672658	24.260548	23.578094
28	0.607544	0.672658	4.492102	3.778427
29	0.607544	0.672658	4.577814	3.919343
30	0.607544	0.672658	5.896256	5.292898
31	0.607544	0.672658	6.020482	5.414142
32	0.607544	0.672658	3.801356	3.268603
33	0.607544	0.672658	3.934061	3.407223
34	0.607544	0.672658	4.078069	3.548277
35	0.607544	0.672658	4.137022	3.679102
36	0.607544	0.672658	6.632341	6.180385
37	0.607544	0.672658	3.311816	2.855156
38	0.607544	0.672658	2.773702	2.320402
39	0.607544	0.672658	3.177658	2.795432
40	0.607544	0.672658	3.245778	2.868620
41	0.607544	0.672658	3.679444	3.296770
42	0.607544	0.672658	2.254829	1.875536
43	0.607544	0.672658	7.039808	6.741368
44	0.607544	0.672658	2.248111	1.943287
45	0.607544	0.672658	2.383865	2.082415
46	0.607544	0.672658	2.802613	2.504593
47	0.607544	0.672658	1.801559	1.496294
48	0.607544	0.672658	2.960644	2.657878
49	0.607544	0.672658	1.655351	1.432605
50	0.607544	0.672658	1.837941	1.616791
51	0.607544	0.672658	2.723395	2.495945
52	0.607544	0.672658	1.683087	1.457276
53	0.607544	0.672658	7.664486	7.441249
54	0.607544	0.672658	1.528234	1.306629
55	0.607544	0.672658	1.697698	1.476660
56	0.607544	0.672658	1.814799	1.586880
57	0.607544	0.672658	1.343543	1.193803
58	0.607544	0.672658	1.376303	1.228222
59	0.607544	0.672658	2.079039	1.932722
60	0.607544	0.672658	1.172695	1.027981
61	0.607544	0.672658	1.236422	1.095775
62	0.607544	0.672658	1.269084	1.128066
63	0.607544	0.672658	2.259572	2.118813
64	0.607544	0.672658	1.124669	0.997287
65	0.607544	0.672658	1.160185	1.016031
66	0.607544	0.672658	1.207036	1.061279
67	0.607544	0.672658	1.242552	1.095101
68	0.607544	0.672658	0.991296	0.842466
69	0.607544	0.672658	2.173932	2.021847
70	0.607544	0.672658	0.969002	0.894102
71	0.607544	0.672658	1.027104	0.951525
72	0.607544	0.672658	0.887404	0.811188
73	0.607544	0.672658	1.040118	0.963734
74	0.607544	0.672658	1.069112	0.992742
75	0.607544	0.672658	0.867590	0.791136
76	0.607544	0.672658	25.691386	25.614904
77	0.607544	0.672658	0.934999	0.858545
78	0.607544	0.672658	0.800979	0.724567
79	0.607544	0.672658	0.969619	0.893151
80	0.607544	0.672658	0.789644	0.713218
81	0.607544	0.672658	0.824294	0.747854
82	0.607544	0.672658	0.976111	0.899629
83	0.607544	0.672658	0.815814	0.739332
84	0.607544	0.672658	0.993855	0.917723
85	0.607544	0.672658	0.758579	0.682097
86	0.607544	0.672658	0.807334	0.731048
87	0.607544	0.672658	1.263669	1.187201
88	0.607544	0.672658	0.755724	0.679508
89	0.607544	0.672658	0.796000	0.719784
90	0.607544	0.672658	0.822237	0.745937
91	0.607544	0.672658	0.764121	0.687856
92	0.607544	0.672658	0.748140	0.671770
93	0.607544	0.672658	0.759392	0.683050
94	0.607544	0.672658	0.864358	0.787946
95	0.607544	0.672658	0.726534	0.650122
96	0.607544	0.672658	0.735910	0.659428
