Query	FD-Tree	Skan	Adaptive Merging	Lazy Adaptive Merging
1	0.096558	0.226506	2.097192	1.638012
2	0.096558	0.226506	2.361488	1.902602
3	0.096558	0.226506	2.526534	2.144182
4	0.096558	0.226506	1.985344	1.602908
5	0.096558	0.226506	1.562667	2.179867
6	0.096558	0.226506	1.678763	2.296789
7	0.096558	0.226506	1.764774	1.458620
8	0.096558	0.226506	1.632679	2.326987
9	0.096558	0.226506	1.034816	2.729600
10	0.096558	0.226506	1.508322	1.203092
11	0.096558	0.226506	1.845708	1.540632
12	0.096558	0.226506	1.426460	1.121272
13	0.096558	0.226506	1.932975	1.704055
14	0.096558	0.226506	1.148988	0.919704
15	0.096558	0.226506	1.269253	2.040865
16	0.096558	0.226506	1.078460	0.849442
17	0.096558	0.226506	1.012745	0.784385
18	0.096558	0.226506	1.226725	1.997427
19	0.096558	0.226506	1.005974	0.777264
20	0.096558	0.226506	1.171820	0.943502
21	0.096558	0.226506	1.286067	2.133135
22	0.096558	0.226506	0.854140	0.701404
23	0.096558	0.226506	0.790300	0.637760
24	0.096558	0.226506	0.867130	0.714618
25	0.096558	0.226506	0.853909	1.001201
26	0.096558	0.226506	0.691644	0.539062
27	0.096558	0.226506	0.715938	0.563160
28	0.096558	0.226506	0.774995	0.623379
29	0.096558	0.226506	0.563371	1.111433
30	0.096558	0.226506	0.597634	0.445332
31	0.096558	0.226506	0.646390	0.493710
32	0.096558	0.226506	0.651932	0.500316
33	0.096558	0.226506	0.700634	0.548486
34	0.096558	0.226506	0.399004	0.322872
35	0.096558	0.226506	0.341178	1.265900
36	0.096558	0.226506	0.432674	0.356780
37	0.096558	0.226506	0.510454	0.433958
38	0.096558	0.226506	0.333206	0.257298
39	0.096558	0.226506	0.506620	0.431342
40	0.096558	0.226506	0.356604	0.280612
41	0.096558	0.226506	0.530048	0.454728
42	0.096558	0.226506	0.324642	0.248426
43	0.096558	0.226506	0.504026	1.428356
44	0.096558	0.226506	0.311433	0.236351
45	0.096558	0.226506	0.379919	0.303857
46	0.096558	0.226506	0.304828	0.229256
