Query	FD-Tree	Skan	Adaptive Merging	Lazy Adaptive Merging
1	0.124985	0.194659	3.136853	2.385744
2	0.124985	0.194659	3.108417	3.359007
3	0.124985	0.194659	3.386247	3.637672
4	0.124985	0.194659	3.577430	2.825691
5	0.124985	0.194659	3.144171	3.393270
6	0.124985	0.194659	3.509149	3.759948
7	0.124985	0.194659	3.785154	3.036774
8	0.124985	0.194659	2.462442	3.706672
9	0.124985	0.194659	3.523462	2.776143
10	0.124985	0.194659	3.993877	3.244028
11	0.124985	0.194659	2.648117	3.899103
12	0.124985	0.194659	3.724466	2.972284
13	0.124985	0.194659	2.526173	2.774834
14	0.124985	0.194659	3.338466	2.696353
15	0.124985	0.194659	3.780147	3.138869
16	0.124985	0.194659	2.669035	2.028599
17	0.124985	0.194659	3.044602	2.400134
18	0.124985	0.194659	3.667378	3.024610
19	0.124985	0.194659	3.147392	3.505459
20	0.124985	0.194659	3.443505	2.805801
21	0.124985	0.194659	2.124127	3.500179
22	0.124985	0.194659	2.869445	2.206353
23	0.124985	0.194659	3.369568	2.727001
24	0.124985	0.194659	2.577207	3.935482
25	0.124985	0.194659	3.170163	2.529281
26	0.124985	0.194659	2.944431	2.299524
27	0.124985	0.194659	2.218072	2.570621
28	0.124985	0.194659	3.053055	2.413205
29	0.124985	0.194659	2.929455	2.288549
30	0.124985	0.194659	2.693708	2.051575
31	0.124985	0.194659	2.612432	2.075247
32	0.124985	0.194659	3.058906	2.522556
33	0.124985	0.194659	3.210106	3.674606
34	0.124985	0.194659	2.509747	1.989987
35	0.124985	0.194659	3.085127	2.536442
36	0.124985	0.194659	2.799035	2.266062
37	0.124985	0.194659	3.366572	3.829588
38	0.124985	0.194659	2.562258	2.026110
39	0.124985	0.194659	3.258344	2.721587
40	0.124985	0.194659	3.663918	3.130914
41	0.124985	0.194659	2.752824	2.217765
42	0.124985	0.194659	2.658818	2.128993
43	0.124985	0.194659	2.817022	2.278781
44	0.124985	0.194659	2.318110	1.782170
45	0.124985	0.194659	2.523606	1.989986
46	0.124985	0.194659	3.088435	2.552742
47	0.124985	0.194659	2.806429	2.273619
48	0.124985	0.194659	2.291122	1.752226
49	0.124985	0.194659	2.798902	2.262329
50	0.124985	0.194659	2.667084	2.131343
51	0.124985	0.194659	3.329660	2.794779
52	0.124985	0.194659	2.557801	2.023762
53	0.124985	0.194659	2.426468	1.893307
54	0.124985	0.194659	2.576194	2.145033
55	0.124985	0.194659	3.916153	3.488768
56	0.124985	0.194659	2.166501	1.718837
57	0.124985	0.194659	2.271331	1.863877
58	0.124985	0.194659	2.431804	2.004645
59	0.124985	0.194659	3.351523	3.925238
60	0.124985	0.194659	2.331599	1.906154
61	0.124985	0.194659	2.231447	1.798569
62	0.124985	0.194659	2.372259	1.946132
63	0.124985	0.194659	3.882659	3.454002
64	0.124985	0.194659	2.021944	1.604807
65	0.124985	0.194659	2.539324	2.112384
66	0.124985	0.194659	2.260489	1.831041
67	0.124985	0.194659	2.394903	2.972174
68	0.124985	0.194659	1.903944	1.478682
69	0.124985	0.194659	2.051945	1.622647
70	0.124985	0.194659	2.117573	1.688276
71	0.124985	0.194659	2.324022	1.892109
72	0.124985	0.194659	2.931937	2.511104
73	0.124985	0.194659	1.853002	1.423848
74	0.124985	0.194659	1.971756	1.545893
75	0.124985	0.194659	2.192151	1.766248
76	0.124985	0.194659	2.191138	1.761202
77	0.124985	0.194659	3.495184	3.066103
78	0.124985	0.194659	1.819309	1.387698
79	0.124985	0.194659	1.932319	1.505050
80	0.124985	0.194659	2.051594	1.625774
81	0.124985	0.194659	2.157445	1.729436
82	0.124985	0.194659	3.954962	3.529351
83	0.124985	0.194659	1.668473	1.348675
84	0.124985	0.194659	1.782020	1.459811
85	0.124985	0.194659	1.916127	1.597207
86	0.124985	0.194659	1.924759	1.600980
87	0.124985	0.194659	3.525226	3.201351
88	0.124985	0.194659	1.592155	1.275038
89	0.124985	0.194659	1.740164	1.420517
90	0.124985	0.194659	1.829740	1.510993
91	0.124985	0.194659	1.988293	1.670417
92	0.124985	0.194659	1.352959	1.035055
93	0.124985	0.194659	1.971886	1.653960
94	0.124985	0.194659	1.598701	1.276703
