Query	Adaptive Merging	Lazy Adaptive Merging	Adaptive Merging	Lazy Adaptive Merging
1	0.624902	0.691805	19.476197	15.821732
2	0.624902	0.691805	21.308768	17.763888
3	0.624902	0.691805	22.930826	19.600497
4	0.624902	0.691805	21.767701	18.544417
5	0.624902	0.691805	19.411000	16.404002
6	0.624902	0.691805	24.856698	21.957378
7	0.624902	0.691805	15.909258	13.225157
8	0.624902	0.691805	17.385789	14.806804
9	0.624902	0.691805	16.633114	14.165018
10	0.624902	0.691805	22.721041	20.359579
11	0.624902	0.691805	13.670585	11.417465
12	0.624902	0.691805	13.786241	11.635402
13	0.624902	0.691805	14.010689	11.970933
14	0.624902	0.691805	23.966968	22.039470
15	0.624902	0.691805	11.481213	9.653543
16	0.624902	0.691805	11.663149	9.944475
17	0.624902	0.691805	11.919415	10.307159
18	0.624902	0.691805	8.547770	6.935006
19	0.624902	0.691805	23.919417	22.421756
20	0.624902	0.691805	8.629741	7.232461
21	0.624902	0.691805	9.095705	7.697148
22	0.624902	0.691805	9.383298	8.100293
23	0.624902	0.691805	6.963045	5.780517
24	0.624902	0.691805	8.963159	7.778621
25	0.624902	0.691805	24.774932	23.706375
26	0.624902	0.691805	5.843468	4.768841
27	0.624902	0.691805	6.592579	5.625019
28	0.624902	0.691805	5.821767	4.856129
29	0.624902	0.691805	6.782874	5.820029
30	0.624902	0.691805	5.031140	4.173649
31	0.624902	0.691805	6.718593	5.863017
32	0.624902	0.691805	5.021536	4.270455
33	0.624902	0.691805	6.845567	6.095545
34	0.624902	0.691805	4.256171	3.508094
35	0.624902	0.691805	10.549541	9.909170
36	0.624902	0.691805	3.395844	2.747253
37	0.624902	0.691805	3.739987	3.100277
38	0.624902	0.691805	4.879084	4.234386
39	0.624902	0.691805	3.000094	2.467229
40	0.624902	0.691805	3.478421	2.941661
41	0.624902	0.691805	3.162922	2.629610
42	0.624902	0.691805	4.517606	3.983665
43	0.624902	0.691805	2.891137	2.463164
44	0.624902	0.691805	2.735704	2.306212
45	0.624902	0.691805	2.819821	2.393771
46	0.624902	0.691805	4.658889	4.231334
47	0.624902	0.691805	2.424224	1.991771
48	0.624902	0.691805	2.428365	2.005262
49	0.624902	0.691805	2.300563	1.979209
50	0.624902	0.691805	2.490629	2.171868
51	0.624902	0.691805	4.897912	4.576757
52	0.624902	0.691805	2.026562	1.707988
53	0.624902	0.691805	1.665664	1.344728
54	0.624902	0.691805	2.032555	1.713333
55	0.624902	0.691805	2.183850	1.861395
56	0.624902	0.691805	1.655267	1.335422
57	0.624902	0.691805	1.985543	1.774928
58	0.624902	0.691805	11.174958	10.961096
59	0.624902	0.691805	1.428627	1.216464
60	0.624902	0.691805	1.567465	1.357067
61	0.624902	0.691805	1.383430	1.168891
62	0.624902	0.691805	1.655967	1.443153
63	0.624902	0.691805	1.255791	1.044676
64	0.624902	0.691805	1.352057	1.151565
65	0.624902	0.691805	1.660047	1.446621
66	0.624902	0.691805	1.264709	1.053987
67	0.624902	0.691805	1.814669	1.601059
68	0.624902	0.691805	1.187446	0.974578
69	0.624902	0.691805	1.274588	1.063415
70	0.624902	0.691805	2.285756	2.181916
71	0.624902	0.691805	1.055365	0.949045
72	0.624902	0.691805	1.019860	0.914256
73	0.624902	0.691805	1.299601	1.193519
74	0.624902	0.691805	0.938296	0.832641
75	0.624902	0.691805	0.963172	0.857755
76	0.624902	0.691805	0.989500	0.882806
77	0.624902	0.691805	0.990400	0.888005
78	0.624902	0.691805	1.276907	1.165499
79	0.624902	0.691805	0.912736	0.805329
80	0.624902	0.691805	0.912230	0.804808
81	0.624902	0.691805	0.950509	0.843144
82	0.624902	0.691805	0.959126	0.851679
83	0.624902	0.691805	1.341400	1.233964
84	0.624902	0.691805	0.887669	0.780254
85	0.624902	0.691805	0.844052	0.736594
86	0.624902	0.691805	0.876617	0.769160
87	0.624902	0.691805	0.926908	0.819421
88	0.624902	0.691805	0.826242	0.718777
89	0.624902	0.691805	0.917270	0.809841
90	0.624902	0.691805	0.811358	0.703914
91	0.624902	0.691805	1.415986	1.308578
92	0.624902	0.691805	0.857309	0.749887
93	0.624902	0.691805	0.784477	0.677005
94	0.624902	0.691805	0.807479	0.700058
95	0.624902	0.691805	0.857763	0.750305
96	0.624902	0.691805	0.799761	0.692281
97	0.624902	0.691805	0.866834	0.759354
98	0.624902	0.691805	0.770507	0.663042
99	0.624902	0.691805	0.795422	0.687964
100	0.624902	0.691805	0.887410	0.779923
101	0.624902	0.691805	0.786305	0.678826
102	0.624902	0.691805	0.772366	0.664887
103	0.624902	0.691805	2.697391	2.589948
104	0.624902	0.691805	0.770461	0.663011
105	0.624902	0.691805	0.769501	0.662065
106	0.624902	0.691805	0.772827	0.665340
107	0.624902	0.691805	0.797236	0.689792
108	0.624902	0.691805	0.769002	0.661537
109	0.624902	0.691805	0.763703	0.656245
110	0.624902	0.691805	0.768488	0.661044
111	0.624902	0.691805	0.821191	0.713754
112	0.624902	0.691805	0.754118	0.646631
113	0.624902	0.691805	0.744026	0.636554
114	0.624902	0.691805	0.754571	0.647121
115	0.624902	0.691805	0.760324	0.652844
116	0.624902	0.691805	0.766069	0.658625
117	0.624902	0.691805	0.742567	0.635116
118	0.624902	0.691805	0.840806	0.733334
119	0.624902	0.691805	0.748319	0.640854
120	0.624902	0.691805	0.742567	0.635081
121	0.624902	0.691805	0.751192	0.643706
122	0.624902	0.691805	0.759824	0.652367
123	0.624902	0.691805	0.736308	0.628828
124	0.624902	0.691805	0.764609	0.657144
125	0.624902	0.691805	0.736308	0.628836
