Query	FD-Tree	Skan	Adaptive Merging	Lazy Adaptive Merging
1	0.099317	0.232949	2.478867	1.833982
2	0.099317	0.232949	2.030532	2.385949
3	0.099317	0.232949	2.726020	2.188914
4	0.099317	0.232949	2.445604	2.908419
5	0.099317	0.232949	2.284148	1.746589
6	0.099317	0.232949	2.458655	1.921182
7	0.099317	0.232949	2.829320	2.399367
8	0.099317	0.232949	2.076288	2.646788
9	0.099317	0.232949	1.936022	1.506249
10	0.099317	0.232949	1.983377	1.553597
11	0.099317	0.232949	2.140135	1.710506
12	0.099317	0.232949	2.145758	1.716006
13	0.099317	0.232949	2.217021	2.894488
14	0.099317	0.232949	2.608062	1.285917
15	0.099317	0.232949	1.621357	1.299363
16	0.099317	0.232949	1.743609	1.421730
17	0.099317	0.232949	1.266048	0.944090
18	0.099317	0.232949	1.642602	1.320435
19	0.099317	0.232949	1.679394	1.357068
20	0.099317	0.232949	1.148199	0.826270
21	0.099317	0.232949	1.099607	0.884752
22	0.099317	0.232949	1.309250	1.094596
23	0.099317	0.232949	0.899803	0.685351
24	0.099317	0.232949	1.298514	1.084098
25	0.099317	0.232949	0.858907	0.644282
26	0.099317	0.232949	1.366015	1.151512
27	0.099317	0.232949	0.838133	0.623443
28	0.099317	0.232949	0.862444	1.648179
29	0.099317	0.232949	0.700760	0.486164
30	0.099317	0.232949	0.793827	0.578857
31	0.099317	0.232949	0.871027	0.656431
32	0.099317	0.232949	0.632954	0.418703
33	0.099317	0.232949	0.731773	0.516964
34	0.099317	0.232949	0.855507	0.748409
35	0.099317	0.232949	0.467219	0.360222
36	0.099317	0.232949	0.627971	0.521125
37	0.099317	0.232949	0.876474	0.769002
38	0.099317	0.232949	0.434971	0.328089
39	0.099317	0.232949	0.449824	0.342827
40	0.099317	0.232949	0.569763	0.462802
41	0.099317	0.232949	0.973274	0.866248
42	0.099317	0.232949	0.397415	0.290217
43	0.099317	0.232949	0.411309	0.303916
44	0.099317	0.232949	0.425202	0.318414
45	0.099317	0.232949	0.451591	0.344551
46	0.099317	0.232949	0.325800	0.218522
47	0.099317	0.232949	0.550263	1.943489
48	0.099317	0.232949	0.351681	0.244562
49	0.099317	0.232949	0.379015	0.271578
50	0.099317	0.232949	0.310870	0.203793
51	0.099317	0.232949	0.387601	0.280273
52	0.099317	0.232949	0.402976	0.296001
53	0.099317	0.232949	0.300732	0.193325
54	0.099317	0.232949	0.534413	0.427337
55	0.099317	0.232949	0.285833	0.179037
56	0.099317	0.232949	0.312199	0.204986
57	0.099317	0.232949	0.281954	0.175029
58	0.099317	0.232949	0.333779	0.226343
59	0.099317	0.232949	0.276655	0.169536
60	0.099317	0.232949	0.341413	0.234531
61	0.099317	0.232949	0.264636	0.157214
62	0.099317	0.232949	0.379821	0.272615
63	0.099317	0.232949	0.251158	0.144269
64	0.099317	0.232949	0.249737	0.152780
65	0.099317	0.232949	0.636020	0.528677
66	0.099317	0.232949	0.251158	0.143988
67	0.099317	0.232949	0.242018	0.135043
68	0.099317	0.232949	0.250658	0.143899
69	0.099317	0.232949	0.281824	0.174424
70	0.099317	0.232949	0.237218	0.129944
71	0.099317	0.232949	0.241519	0.134371
72	0.099317	0.232949	0.242940	0.135925
73	0.099317	0.232949	0.300064	0.193200
74	0.099317	0.232949	0.228540	0.121795
75	0.099317	0.232949	0.233340	0.127070
76	0.099317	0.232949	0.233801	0.127661
77	0.099317	0.232949	0.242940	0.136922
78	0.099317	0.232949	0.316338	0.210363
79	0.099317	0.232949	0.226121	0.120258
80	0.099317	0.232949	0.216982	0.111227
81	0.099317	0.232949	0.229001	0.123300
82	0.099317	0.232949	0.232342	0.126752
83	0.099317	0.232949	0.241481	0.134808
84	0.099317	0.232949	0.214102	0.107515
85	0.099317	0.232949	0.337927	0.231405
86	0.099317	0.232949	0.212642	0.106160
87	0.099317	0.232949	0.222742	0.116328
88	0.099317	0.232949	0.216982	0.110618
89	0.099317	0.232949	0.223195	0.116904
90	0.099317	0.232949	0.212642	0.106362
91	0.099317	0.232949	0.230882	0.124634
92	0.099317	0.232949	0.210722	0.104506
93	0.099317	0.232949	0.214562	0.108346
94	0.099317	0.232949	0.232802	0.126604
95	0.099317	0.232949	0.212642	0.106441
96	0.099317	0.232949	0.211183	0.104136
97	0.099317	0.232949	0.717460	0.610394
98	0.099317	0.232949	0.209263	0.102255
99	0.099317	0.232949	0.214562	0.107558
100	0.099317	0.232949	0.216943	0.109968
101	0.099317	0.232949	0.208303	0.101364
102	0.099317	0.232949	0.212642	0.105753
103	0.099317	0.232949	0.211183	0.104344
104	0.099317	0.232949	0.221743	0.114890
105	0.099317	0.232949	0.208303	0.101472
106	0.099317	0.232949	0.209263	0.102468
107	0.099317	0.232949	0.210223	0.103374
108	0.099317	0.232949	0.211183	0.104265
109	0.099317	0.232949	0.206844	0.099681
110	0.099317	0.232949	0.226543	0.119409
111	0.099317	0.232949	0.208303	0.101137
112	0.099317	0.232949	0.209263	0.102137
113	0.099317	0.232949	0.206844	0.099487
114	0.099317	0.232949	0.210223	0.102722
115	0.099317	0.232949	0.211183	0.103689
116	0.099317	0.232949	0.206844	0.099350
117	0.099317	0.232949	0.231343	0.123849
118	0.099317	0.232949	0.206844	0.099350
119	0.099317	0.232949	0.208303	0.100809
120	0.099317	0.232949	0.206844	0.099350
121	0.099317	0.232949	0.209263	0.101769
122	0.099317	0.232949	0.206844	0.099350
123	0.099317	0.232949	0.210223	0.102729
124	0.099317	0.232949	0.206844	0.099350
125	0.099317	0.232949	0.211183	0.103689
126	0.099317	0.232949	0.206844	0.099350
127	0.099317	0.232949	0.206844	0.099350
128	0.099317	0.232949	0.260135	0.162434
129	0.099317	0.232949	0.206844	0.099350
130	0.099317	0.232949	0.206844	0.099350
131	0.099317	0.232949	0.206844	0.099350
132	0.099317	0.232949	0.208303	0.100809
133	0.099317	0.232949	0.206844	0.099350
134	0.099317	0.232949	0.206844	0.099350
135	0.099317	0.232949	0.206844	0.099350
136	0.099317	0.232949	0.209263	0.101769
137	0.099317	0.232949	0.206844	0.099350
138	0.099317	0.232949	0.206844	0.099350
139	0.099317	0.232949	0.206844	0.099350
140	0.099317	0.232949	0.206844	0.099350
141	0.099317	0.232949	0.210223	0.102729
142	0.099317	0.232949	0.206844	0.099350
143	0.099317	0.232949	0.206844	0.099350
144	0.099317	0.232949	0.206837	0.099350
145	0.099317	0.232949	0.206844	0.099350
146	0.099317	0.232949	0.206844	0.099350
147	0.099317	0.232949	0.206844	0.099350
148	0.099317	0.232949	0.211183	0.103689
149	0.099317	0.232949	0.206844	0.099350
150	0.099317	0.232949	0.206844	0.099350
151	0.099317	0.232949	0.206844	0.099350
152	0.099317	0.232949	0.206844	0.099350
153	0.099317	0.232949	0.206844	0.099350
154	0.099317	0.232949	0.206837	0.099350
155	0.099317	0.232949	0.206844	0.099350
156	0.099317	0.232949	0.206844	0.099350
157	0.099317	0.232949	0.206844	0.099350
158	0.099317	0.232949	0.206844	0.099350
159	0.099317	0.232949	0.206844	0.099350
160	0.099317	0.232949	0.216943	0.109449
161	0.099317	0.232949	0.206844	0.099350
162	0.099317	0.232949	0.206844	0.099350
163	0.099317	0.232949	0.206844	0.099350
164	0.099317	0.232949	0.206855	0.099354
165	0.099317	0.232949	0.206844	0.099350
166	0.099317	0.232949	0.206855	0.099361
167	0.099317	0.232949	0.206855	0.099361
168	0.099317	0.232949	0.206855	0.099361
169	0.099317	0.232949	0.206855	0.099361
170	0.099317	0.232949	0.206855	0.099361
171	0.099317	0.232949	0.206855	0.099361
172	0.099317	0.232949	0.206855	0.099361
173	0.099317	0.232949	0.206855	0.099361
174	0.099317	0.232949	0.206855	0.099361
175	0.099317	0.232949	0.206851	0.099357
176	0.099317	0.232949	0.206851	0.099357
177	0.099317	0.232949	0.206851	0.099357
178	0.099317	0.232949	0.206851	0.099357
179	0.099317	0.232949	0.206851	0.099357
180	0.099317	0.232949	0.206851	0.099357
181	0.099317	0.232949	0.208310	0.100816
