Query	B+-Tree	Skan	Adaptive Merging	extendend Adaptive Merging	PCM Adaptive Merging
1	0.056002	0.086484	8.550579	2.622910	1.758618
2	0.056002	0.086484	8.470713	2.599961	1.748676
3	0.056002	0.086484	8.383377	2.573648	1.731095
4	0.056002	0.086484	8.294633	2.546773	1.713222
5	0.056002	0.086484	8.231473	2.527091	1.700077
6	0.056002	0.086484	8.128420	2.496849	1.679766
7	0.056002	0.086484	8.047246	2.472406	1.663547
8	0.056002	0.086484	7.975857	2.450257	1.648694
9	0.056002	0.086484	7.905727	2.429120	1.634581
10	0.056002	0.086484	7.845620	2.411463	1.622749
11	0.056002	0.086484	7.753524	2.383550	1.604192
12	0.056002	0.086484	7.661807	2.355969	1.585652
13	0.056002	0.086484	7.590477	2.334593	1.571481
14	0.056002	0.086484	7.494440	2.305622	1.552017
15	0.056002	0.086484	7.439843	2.289519	1.541262
16	0.056002	0.086484	7.368045	2.267958	1.526976
17	0.056002	0.086484	7.299144	2.246487	1.512636
18	0.056002	0.086484	7.208366	2.219217	1.494320
19	0.056002	0.086484	7.158173	2.204354	1.484470
20	0.056002	0.086484	7.072450	2.178640	1.467228
21	0.056002	0.086484	6.998470	2.156365	1.452256
22	0.056002	0.086484	6.925551	2.134586	1.437866
23	0.056002	0.086484	6.869561	2.117161	1.426256
24	0.056002	0.086484	6.811423	2.099960	1.414600
25	0.056002	0.086484	6.735220	2.077158	1.399408
26	0.056002	0.086484	6.670594	2.057854	1.386605
27	0.056002	0.086484	6.603737	2.038019	1.373287
28	0.056002	0.086484	6.521672	2.013304	1.356725
29	0.056002	0.086484	6.496671	2.005466	1.351606
30	0.056002	0.086484	6.409023	1.979183	1.334020
31	0.056002	0.086484	6.319136	1.951895	1.315807
32	0.056002	0.086484	6.277303	1.938858	1.307100
33	0.056002	0.086484	6.205177	1.917423	1.292709
34	0.056002	0.086484	6.161125	1.904524	1.284056
35	0.056002	0.086484	6.113687	1.889722	1.274149
36	0.056002	0.086484	6.037905	1.867000	1.259127
37	0.056002	0.086484	5.968426	1.846260	1.245263
38	0.056002	0.086484	5.890766	1.823072	1.229672
39	0.056002	0.086484	5.860698	1.813671	1.223410
40	0.056002	0.086484	5.773507	1.787384	1.205944
41	0.056002	0.086484	5.753216	1.781987	1.202240
42	0.056002	0.086484	5.683729	1.760206	1.187725
43	0.056002	0.086484	5.647156	1.749820	1.180729
44	0.056002	0.086484	5.576579	1.742749	1.162694
45	0.056002	0.086484	5.558128	1.738467	1.160447
46	0.056002	0.086484	5.502701	1.721927	1.149499
47	0.056002	0.086484	5.438138	1.702521	1.136552
48	0.056002	0.086484	5.396996	1.689667	1.128114
49	0.056002	0.086484	5.326481	1.668315	1.113969
50	0.056002	0.086484	5.243087	1.643062	1.097316
51	0.056002	0.086484	5.207548	1.631801	1.089841
52	0.056002	0.086484	5.161325	1.618241	1.081047
53	0.056002	0.086484	5.108863	1.601802	1.070098
54	0.056002	0.086484	5.069977	1.590453	1.062738
55	0.056002	0.086484	5.007960	1.571838	1.050420
56	0.056002	0.086484	4.967807	1.559184	1.041920
57	0.056002	0.086484	4.900207	1.538882	1.028689
58	0.056002	0.086484	4.866645	1.528301	1.021558
59	0.056002	0.086484	4.819530	1.514366	1.012438
60	0.056002	0.086484	4.775868	1.500631	1.003252
61	0.056002	0.086484	4.719469	1.483795	0.992126
62	0.056002	0.086484	4.680661	1.471694	0.984206
63	0.056002	0.086484	4.625682	1.455147	0.973309
64	0.056002	0.086484	4.577847	1.441065	0.963949
65	0.056002	0.086484	4.521511	1.423286	0.952264
