Query	B+-Tree	Skan	Adaptive Merging	extendend Adaptive Merging	PCM Adaptive Merging
1	0.009001	0.070703	1.465728	0.594494	0.295006
2	0.009001	0.070703	1.464345	0.601518	0.299568
3	0.009001	0.070703	1.449225	0.595457	0.296536
4	0.009001	0.070703	1.433882	0.589299	0.293474
5	0.009001	0.070703	1.422481	0.584795	0.291238
6	0.009001	0.070703	1.405145	0.577831	0.287741
7	0.009001	0.070703	1.391092	0.572202	0.284941
8	0.009001	0.070703	1.378246	0.567106	0.282393
9	0.009001	0.070703	1.366165	0.562306	0.280012
10	0.009001	0.070703	1.355718	0.558171	0.277918
11	0.009001	0.070703	1.339814	0.551795	0.274760
12	0.009001	0.070703	1.323956	0.545447	0.271573
13	0.009001	0.070703	1.311626	0.540914	0.269515
14	0.009001	0.070703	1.295000	0.534242	0.266164
15	0.009001	0.070703	1.286035	0.530539	0.264315
16	0.009001	0.070703	1.273645	0.525614	0.261885
17	0.009001	0.070703	1.261230	0.520683	0.259425
18	0.009001	0.070703	1.245494	0.514375	0.256251
19	0.009001	0.070703	1.236844	0.510986	0.254574
20	0.009001	0.070703	1.222042	0.505096	0.251642
21	0.009001	0.070703	1.209235	0.499972	0.249056
22	0.009001	0.070703	1.197098	0.494966	0.246588
23	0.009001	0.070703	1.186878	0.490918	0.244553
24	0.009001	0.070703	1.176892	0.487012	0.242598
25	0.009001	0.070703	1.163719	0.481633	0.239854
26	0.009001	0.070703	1.152999	0.477185	0.237638
27	0.009001	0.070703	1.141443	0.472621	0.235353
28	0.009001	0.070703	1.127236	0.466934	0.232499
29	0.009001	0.070703	1.122928	0.465165	0.231648
30	0.009001	0.070703	1.107754	0.459104	0.228619
31	0.009001	0.070703	1.092213	0.452860	0.225503
32	0.009001	0.070703	1.084483	0.449858	0.224003
33	0.009001	0.070703	1.071995	0.444905	0.221517
34	0.009001	0.070703	1.064896	0.441982	0.220066
35	0.009001	0.070703	1.056197	0.438579	0.218362
36	0.009001	0.070703	1.043097	0.433364	0.215789
37	0.009001	0.070703	1.031088	0.428589	0.213398
38	0.009001	0.070703	1.018111	0.423150	0.210620
39	0.009001	0.070703	1.012458	0.421021	0.209574
40	0.009001	0.070703	0.997343	0.414945	0.206539
41	0.009001	0.070703	0.994336	0.413709	0.205908
42	0.009001	0.070703	0.981840	0.408734	0.203436
43	0.009001	0.070703	0.975995	0.406327	0.202225
44	0.009001	0.070703	0.960258	0.400014	0.199073
45	0.009001	0.070703	0.971081	0.413401	0.198405
46	0.009001	0.070703	0.963097	0.410733	0.198061
47	0.009001	0.070703	0.951817	0.406166	0.195842
48	0.009001	0.070703	0.944561	0.403091	0.194355
49	0.009001	0.070703	0.932258	0.398091	0.191950
50	0.009001	0.070703	0.917594	0.392059	0.189016
51	0.009001	0.070703	0.910933	0.389456	0.187774
52	0.009001	0.070703	0.903299	0.386203	0.186209
53	0.009001	0.070703	0.893608	0.382207	0.184213
54	0.009001	0.070703	0.887320	0.379559	0.182973
55	0.009001	0.070703	0.876447	0.375140	0.180823
56	0.009001	0.070703	0.869405	0.372163	0.179366
